	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
69	1893	And this soft fool could give that smile (he could appreciate it æsthetic ally, and knew that a painter might have died happy who had laid such a smile on canvas) because the little howling- ***machine*** had waked up !	"Had he been rich enough to keep them in a nursery, and see them at intervals, picturesquely dressed, he would probably have liked them as well as he did all other pretty things ; but a poor man's baby, squalling at all houft, and dribbling over its wretched frock — growing up with an enormous appetite and no pockethandkerchief — pah ! [SEP] And this soft fool could give that smile (he could appreciate it æsthetic ally, and knew that a painter might have died happy who had laid such a smile on canvas) because the little howling- ***machine*** had waked up ! [SEP] ""At all events, he won't give me much trouble if I am caught on his premises,"" thought he."	000235786_01_14_14	machine	1.0	1.0
70	1897	And now they took him for a crazy ***engine*** whose madness had infected the whole neighbourhood.	His performance was the same. [SEP] And now they took him for a crazy ***engine*** whose madness had infected the whole neighbourhood. [SEP] Now was the moment to fight for sleep in contempt of him, and they began by simulating an entry into the fortress they were to defend, plunging on their pillows, battening down their eyelids, breathing with a dreadful regularity.	002462944_13_167_10	engine	1.0	1.0
71	1895	Nevertheless, the ***machine*** looks very large and suspicious; unloose Pom pey.	"The story is differently told in Virgil, quoth Ricca bocca, peeping out of the window. [SEP] Nevertheless, the ***machine*** looks very large and suspicious; unloose Pom pey. [SEP] ""Father,"" said Violante, colouring, ""it is your friend, Lord L'Estrange; I hear his voice."""	000528601_02_391_10	machine	1.0	1.0
72	1874	Now, there were brought warlike ***engines*** of all kinds, casting deadly missiles, in the shape of immense stones, leaden balls, and javelins; but for a time without effect.	"Sir William Oliphant, the governor, had been appointed by the guardian Soulis, and seemingly considering the defence hopeless, in face of the preparations making against him, he proposed that time should be allowed him for communicating with his superior ; but this was contemptuously refused. [SEP] Now, there were brought warlike ***engines*** of all kinds, casting deadly missiles, in the shape of immense stones, leaden balls, and javelins; but for a time without effect. [SEP] Then we see Edward stripping the roofs of the religious houses of St. Andrews and Brechin, ""consecrated buildings"" though they were, for lead to supply his engines,1 and writing 1 Edward's letter to his son, the prince of Wales, on this subject, is curious, and, we venture to think, characteristic. """	000543808_02_134_10	engines	0.0	0.0
73	1847	459 for the most part, either vexatious or impossible ; that the strict ob servance of conditions can rarely be enforced ; that, if it were, it would reduce the occupiers to the condition of mere ***machines*** ; that it would prevent them from taking advantage of such discoveries as might be made during the currency of their leases ; and that, having no means of escaping from the prescribed mode of management, they would cease to interest themselves in the progress of agriculture, and would become indifferent to every sort of improvement.	AGRICULTURE. [SEP] 459 for the most part, either vexatious or impossible ; that the strict ob servance of conditions can rarely be enforced ; that, if it were, it would reduce the occupiers to the condition of mere ***machines*** ; that it would prevent them from taking advantage of such discoveries as might be made during the currency of their leases ; and that, having no means of escaping from the prescribed mode of management, they would cease to interest themselves in the progress of agriculture, and would become indifferent to every sort of improvement. [SEP] But these objections, though enforced by some high authorities, are really entitled to very little weight.	002308364_01_483_1	machines	1.0	0.0
74	1828	There is also an^excellent set of Chemi cal ***apparatus*** ; but, only two courses of lectures have been delivered, since they were sent from London, about three years ago ; and they are now lying unemployed for want of a Lecturer.	Paintings, which are a most interesting and in structive sight, and might be turned to great ad vantage. [SEP] There is also an^excellent set of Chemi cal ***apparatus*** ; but, only two courses of lectures have been delivered, since they were sent from London, about three years ago ; and they are now lying unemployed for want of a Lecturer. [SEP] Very lately, about fourteen hundred persons of all ages, and both sexes, were employed in the works; but, the number is diminishing, in conse quence of the late unfortunate reduction of their wages.	000874596_01_202_2	apparatus	0.0	0.0
75	1889	Elaine, like a ***machine*** , had busied herself in closing the piano and putting away her music.	It is really quite exceptional weather; I am so glad for the hay-makers.' [SEP] Elaine, like a ***machine*** , had busied herself in closing the piano and putting away her music. [SEP] Now she rose, and followed her aunt to the table by the window.	003122589_01_26_8	machine	1.0	1.0
76	1891	To And that Clare was not a mere ***machine*** , who arranged wools and kept Augusta in good humour, was a perplexing discovery.	ONLY CLARCHEN 9 future openly to show her displeasure. [SEP] To And that Clare was not a mere ***machine*** , who arranged wools and kept Augusta in good humour, was a perplexing discovery. [SEP] Mrs Folliott tried to restore her mental balance by telling herself that Clare was ungrateful, and that it was her duty as Augusta's mother and Austin's aunt to humble the foolish girl's pride, and to keep her in the subordinate position which befitted a poor rela tion.	000964257_02_17_1	machine	1.0	1.0
77	1878	Fire, however, might do what besiegers and ***engines*** of war failed to accomplish.	Time after time the assailants attempted to scale the ramparts, but they were driven back head long and with slaughter. [SEP] Fire, however, might do what besiegers and ***engines*** of war failed to accomplish. [SEP] The burning brands flung into the enclosure wrapped in flames the northern portico.	000105428_01_48_12	engines	1.0	1.0
78	1884	Miners working in connection with pneumatic boring- ***machines*** are continually supplied with an abundance of fresh air.	4. [SEP] Miners working in connection with pneumatic boring- ***machines*** are continually supplied with an abundance of fresh air. [SEP] 5.	001770870_02_68_11	machines	0.0	0.0
79	1873	"I cannot let you go,"" said Louis, after a few minutes' delicious silence, as they ap proached the place where a dense crowd surrounded the now flaming building, where the ***engines*** were already busily at work. """	"I promised the boy, and I may be of some help, perhaps, in getting the poor u woman away. "" [SEP] I cannot let you go,"" said Louis, after a few minutes' delicious silence, as they ap proached the place where a dense crowd surrounded the now flaming building, where the ***engines*** were already busily at work. "" [SEP] Indeed you must,"" answered Ruth. """	000369555_02_51_3	engines	1.0	0.0
80	1825	The introduction of the steam ***engine*** into this section of country will form a new era in the mining of Missouri, and produce the same astonishing effects which have resulted in other places from this capital invention.	288 TRAVELS IN THE CENTRAL PORTIONS come to be extensively worked in the rock, the efforts which are now scattered over an immense surface will be concentrated upon particular points, and the obser vations of the most eminent miners and geologists of Europe will be open before us, to guide our subter ranean operations. [SEP] The introduction of the steam ***engine*** into this section of country will form a new era in the mining of Missouri, and produce the same astonishing effects which have resulted in other places from this capital invention. [SEP] It is only a few years since this power was first employed in the South American mines.	003293989_01_298_1	engine	0.0	0.0
81	1859	— The Sons of Freedom Company after having been swamped out for two years, during which period they have had two ***engines*** almost constantly at work, have abandoned the present shaft and commenced sinking a new one.	Napoleon Lead. [SEP] — The Sons of Freedom Company after having been swamped out for two years, during which period they have had two ***engines*** almost constantly at work, have abandoned the present shaft and commenced sinking a new one. [SEP] The object of this is to avoid the rock through which the water has percolated to such an extent, that all the efforts to drain the ground have hitherto been ren dered ineffectual.	003786954_02_220_5	engines	0.0	0.0
82	1876	The ***engine*** discharged the water, and the prediction in point of time was exactly verified.	The en gineer came down and calculated the time which would be required to lay the Mere dry again. [SEP] The ***engine*** discharged the water, and the prediction in point of time was exactly verified. [SEP] CHAPTER IV.	001631486_01_159_14	engine	0.0	0.0
83	1877	"Mudge could read the signs of the times for all that his master had described him as "" a mere ***machine*** ,"" and, looking on the dial of his master's face, there descried ""what o'clock it was;"" in other words,"	"He stole about a-tiptoe, and when an unlucky copy ing-clerk in a corner of the outer room overset a folio, he turned upon him so threatening and wrathful a countenance that that unhappy one shrank into himself till the top of his head was all that was visible above the collar of his coat. [SEP] Mudge could read the signs of the times for all that his master had described him as "" a mere ***machine*** ,"" and, looking on the dial of his master's face, there descried ""what o'clock it was;"" in other words, [SEP] 88 WINSTOAV^ recognised the fact that to interrupt the conference at present going on, would be to incur vast and unknown penalties."	000014653_03_97_4	machine	1.0	0.0
84	1880	A Baked-potato-man did homeward trudge, With ***engine*** , donkey, cart, and inward grudge, Because a gay Lothario, 'pon town, .	20 III. [SEP] A Baked-potato-man did homeward trudge, With ***engine*** , donkey, cart, and inward grudge, Because a gay Lothario, 'pon town, . [SEP] Had ventured to affirm that half-a-crown He tendered had, in payment for a meal Of mealy tubers and stewed peas.	002097337_01_28_1	engine	0.0	0.0
85	1884	"This Wallanchoon is "" a large village of painted wooden houses,"" con taining about a hundred houses and temples, which latter buildings contain rows of praying ***machines*** ."	"It was by that route that Doctor Hooker proceeded, and thence up the gorge of the Tambur river to the Wallan choon Pass to Thibet. [SEP] This Wallanchoon is "" a large village of painted wooden houses,"" con taining about a hundred houses and temples, which latter buildings contain rows of praying ***machines*** . [SEP] These machines are supposed to be as efficacious as oral prayer."	001332510_01_208_4	machines	1.0	1.0
86	1895	"Neither the grimness of Ellen's tone nor the gloom over her face had escaped Mr. Harden ; but they did not daunt him as they were meant to do, and the mere circumstance of Ellen's having deigned to address him, and having allowed her eyes to rest for a moment upon his face, filled him with a hope and happiness that sent him striding back to the station utterly regardless of what his sister called "" the danger to life and limb wrought by one who walks with the callousness of a steam- ***engine*** ."""	"The artistic temperament is sanguine, and the artistic eye is kind. [SEP] Neither the grimness of Ellen's tone nor the gloom over her face had escaped Mr. Harden ; but they did not daunt him as they were meant to do, and the mere circumstance of Ellen's having deigned to address him, and having allowed her eyes to rest for a moment upon his face, filled him with a hope and happiness that sent him striding back to the station utterly regardless of what his sister called "" the danger to life and limb wrought by one who walks with the callousness of a steam- ***engine*** ."" [SEP] "" I should think, Edward, I am big enough to be seen,"" she said indignantly, as he collided with her in the entrance to the station."	001167195_01_312_10	engine	1.0	1.0
87	1858	Steam cultivators, ploughs, thrashing and reaping ***machines*** , and other useful inventions, are now in that probationary state which usually precedes adoption.	Another great power is now waiting the command of agriculture. [SEP] Steam cultivators, ploughs, thrashing and reaping ***machines*** , and other useful inventions, are now in that probationary state which usually precedes adoption. [SEP] That steam has already done for agricul ture more than agriculturists themselves are aware, may soon be demonstrated.	002905575_01_179_7	machines	0.0	0.0
88	1848	We must confess we are happy that we were not there to hear them, for, notwithstanding, that each of the eight old youths worked away like a steam ***engine*** , the performance took three hours and six minutes.	— yes, grandsire triples, in which peal there were no less than five thousand and forty changes. [SEP] We must confess we are happy that we were not there to hear them, for, notwithstanding, that each of the eight old youths worked away like a steam ***engine*** , the performance took three hours and six minutes. [SEP] The sound of cannon now boomed from the Tower walls ; this was the signal for all who were to participate in the gorgeous procession, to hasten to their respective stations.	003132450_01_243_7	engine	1.0	0.0
89	1875	This other — could it possibly be the repulsive young calculating- ***machine*** who called himself Kraaniff or Kranich ?	off from Carlsruhe by a mysterious sum mons : perhaps, with the illogical con clusions of young girls, she had allowed some less worthy suitor to bear her away from her dreams of Fortnoye. [SEP] This other — could it possibly be the repulsive young calculating- ***machine*** who called himself Kraaniff or Kranich ? [SEP] That would explain his quarrel with Fortnoye perhaps ; but I had seen him at Heidel berg, apparently alone.	003520514_01_206_32	machine	1.0	1.0
90	1882	Three steam ***engines*** , located in different parts of the building, are employed to work the bellows* The cost of the instrument, which was not completed at the time of writing, was over $60,000, and the ornately carved mahogany cases cost about $30,000 additional.	The combi nation pedals are so arranged that the organist can change any combination to suit himself, small knobs being placed above the drawstops for this purpose. [SEP] Three steam ***engines*** , located in different parts of the building, are employed to work the bellows* The cost of the instrument, which was not completed at the time of writing, was over $60,000, and the ornately carved mahogany cases cost about $30,000 additional. [SEP] and debate, has been profoundly felt, and this necessity has been relieved by the cathedral.	003015993_01_201_6	engines	0.0	0.0
91	1881	"Mr. Winans made the pile-driver, and also a ***locomotive*** , to be sent to St. Petersburg, and his son Thomas concluded to go there also and show the Russians SAILING-CAR "" ÆOLUS."""	"One of the English engineers in the employ of the Czar wrote to Ross Winans, asking him to make an effec tive pile-driver to be used on these works. [SEP] Mr. Winans made the pile-driver, and also a ***locomotive*** , to be sent to St. Petersburg, and his son Thomas concluded to go there also and show the Russians SAILING-CAR "" ÆOLUS."" [SEP] the body of it fifty-three gun-barrel tubes are fixed vertically, through which, and also through the space between the inner and outer boilers, the flame and beat pass from the furnace, which is immediately beneath the inner boiler."	003269703_01_353_11	locomotive	0.0	0.0
92	1891	The false bottom furnishes the lower grinding surface of the ***machine*** .	"On the inside of the pan is fixed a false bottom of iron, cast either in sections, called "" dies,"" or in one piece which has a diameter somewhat less than that of the pan ; this has an aperture through which rises the central pillar. [SEP] The false bottom furnishes the lower grinding surface of the ***machine*** . [SEP] The muller, forming the upper grinding-surface, is a circular plate of cast-iron, corresponding in size with the false bottom, and having a fiat, conical, or conoidal surface, according to the shape of the pan bottom."	002903052_01_797_11	machine	0.0	0.0
93	1868	"How she had had some dif ficulty in getting up-stairs ; how the overlooker had barely glanced at her when she presented herself, and, beckoning to her to follow, had walked up the long room to where a ***machine*** was standing idle, and said, "" this is your ***machine*** ."""	"Then she gave a detailed feminine account of all she had gone through. [SEP] How she had had some dif ficulty in getting up-stairs ; how the overlooker had barely glanced at her when she presented herself, and, beckoning to her to follow, had walked up the long room to where a ***machine*** was standing idle, and said, "" this is your ***machine*** ."" [SEP] Then to the workwoman at the next table, ""Miss Matching, show Miss Vickers how to begin her work."""	003874932_01_214_12	machine	0.0	0.0
94	1890	The guard whistled, the ***engine*** replied, and the train rolled slowly out of the station.	She held out her hand, which he took and pressed warmly. [SEP] The guard whistled, the ***engine*** replied, and the train rolled slowly out of the station. [SEP] Herbert returned to his dogcart, which he had left in charge of a porter, and drove rapidly back to Beachville.	000874833_03_204_10	engine	1.0	1.0
95	1871	"The floor of the scaffold, from some previous misarrange ment, gave way, and precipitated into the area of the ***apparatus*** , Messrs "" Vilette and Gaffy, the latter a Catholic priest, who attended Clinch, and thc two executioners; Mr. Sheriff Stains had himself a very narrow escape."	"An extremely disagreeable circumstance occurred shortly before the period which is usually allowed to men in their unfortunate situation. [SEP] The floor of the scaffold, from some previous misarrange ment, gave way, and precipitated into the area of the ***apparatus*** , Messrs "" Vilette and Gaffy, the latter a Catholic priest, who attended Clinch, and thc two executioners; Mr. Sheriff Stains had himself a very narrow escape. [SEP] Mr. Gaffy being a lusty man was severely hurt, as were both the executioners : Mr Vilette escaped with a slight bruise."	000838882_01_237_17	apparatus	0.0	0.0
96	1837	Now, I've only got to dewote my faculties, to give that ere mulberry-painted, portable ***engine*** , Mr. Job Trotter, some compen sation for the trouble he took, to let me know, I didn't know so much as I thought I did-^-I	I've slipp'd that ere walentine into the post, so now it's off my mind — making love, for the first time, is like goin a svimmin, it's wery awk vard, the first plunge, but it's nothin vhen you're us'd to it. [SEP] Now, I've only got to dewote my faculties, to give that ere mulberry-painted, portable ***engine*** , Mr. Job Trotter, some compen sation for the trouble he took, to let me know, I didn't know so much as I thought I did-^-I [SEP] 113 SAM WELLER.	002525572_01_126_21	engine	0.0	0.0
97	1882	In other words, her ***engines*** and leading guns are protected, while the rest of her hull, though strong, is not armour-covered.	"She is armoured at the middle only, in the most exposed parts. [SEP] In other words, her ***engines*** and leading guns are protected, while the rest of her hull, though strong, is not armour-covered. [SEP] Now, whatever weight of armour this central, or "" box-battery,"" as it has been termed, may have, there is always a continuous belt of iron extending from stem to stern, and protecting the region of the water-line and steering gear, the counter of the ship being carried below the water in order to screen the rudder-head."	003914898_01_515_18	engines	0.0	0.0
98	1877	Very soon you go,' he cried out to the bulkheads, or buffers, or whatever are the things that close the career of a land- ***engine*** . '	Major Hockin brought the only fly as yet to be found in Bruntsea, to meet me at Newport, where the railway ended at present, for want of further encouragement. [SEP] Very soon you go,' he cried out to the bulkheads, or buffers, or whatever are the things that close the career of a land- ***engine*** . ' [SEP] Station-master, you are very Avise in putting in your very best cabbage plants there.	000367057_02_125_3	engine	0.0	0.0
99	1882	The master of a manufactory no more doubts that he can purchase the human labour necessary for his purposes, than that his ***machinery*** wdl act as theyr have been accustomed to act.	No farmer carrying his corn to market doubts the sale of it at the market price. [SEP] The master of a manufactory no more doubts that he can purchase the human labour necessary for his purposes, than that his ***machinery*** wdl act as theyr have been accustomed to act. [SEP] But, whilst none have scrupled to admit necessity as influencing matter, many have disputed its dominion over mind.	003364107_02_532_6	machinery	1.0	1.0
100	1850	the charm of home is destroyed, since our children, educated in distant seminaries, are strangers in the paternal mansion ; and our servants, like mere ***machines*** , move on their mercenary track without feeling or exciting one kind or generous sentiment.	Alas ! [SEP] the charm of home is destroyed, since our children, educated in distant seminaries, are strangers in the paternal mansion ; and our servants, like mere ***machines*** , move on their mercenary track without feeling or exciting one kind or generous sentiment. [SEP] Home, thus despoiled of all its charms, is no longer the scene of any enjoyments but such as wealth can purchase.	002823952_02_76_8	machines	1.0	0.0
101	1885	Her prow was provided with a beak or ram of large dimensions ; and, as her ***engines*** had a force of 1,800 horse-power, she might have proved a dangerous enemy in an encounter.	Of the three ironclad frigates owned by Russia, the oldest was the Sebastopol, which was the first ironclad constructed for Russia, and was launched at Cronstadt on the 24th of August, 1864. [SEP] Her prow was provided with a beak or ram of large dimensions ; and, as her ***engines*** had a force of 1,800 horse-power, she might have proved a dangerous enemy in an encounter. [SEP] Another of these frigates was built by English engineers at the naval yard of St. Petersburg, and was launched in September, 1866.	002706355_01_156_4	engines	0.0	0.0
102	1833	This place had been hid in the reign of Elizabeth, by build ing what Stowe calls the artificial f order or ***engine*** for increasing the supply of Thames water to the metro polis, and which was succeeded by the late Water works.	The site of the ancient 'Oyster gate' was identified by cart-loads of oyster shells being found on the spot. [SEP] This place had been hid in the reign of Elizabeth, by build ing what Stowe calls the artificial f order or ***engine*** for increasing the supply of Thames water to the metro polis, and which was succeeded by the late Water works. [SEP] In digging at the greatest depth on this site, there was turned up part of a leathern sandal,* sin gularly looped on the sides, which had been apparently lost in the mud ; also some fragments of Roman pot tery, and a few coins.	003223602_01_28_4	engine	0.0	0.0
103	1888	"But no muscle moved on his face, no unusual twinkle came to his eye ; he apparently said : "" I am a ***machine*** , sir, and always obey the stronger force, and that without dissent."""	"Any other than a Chinaman would have de bated or laughed at the command, viewing it either as too serious or too comic to be obeyed. [SEP] But no muscle moved on his face, no unusual twinkle came to his eye ; he apparently said : "" I am a ***machine*** , sir, and always obey the stronger force, and that without dissent."" [SEP] This"	001606463_01_172_9	machine	1.0	1.0
104	1860	Johnny went for a cart-load ob meal, Just like a ***locomotive*** , his boss stood still J His bind legs shivered, and his head off did drop, And den Jolinny sent him from de bottom to the top Come dwell with me.	Ole Johnny Boker went among de sugar-cane, He fell down upon the lop ob poor Mary Blanc, Which made her for lo kick and swear, But Johnny held too fast in her curly hair. [SEP] Johnny went for a cart-load ob meal, Just like a ***locomotive*** , his boss stood still J His bind legs shivered, and his head off did drop, And den Jolinny sent him from de bottom to the top Come dwell with me. [SEP] Come dwell come dwell with me, And our home shall be A pleasant cot in a tranquil spot With a distant view of the changing sea My cottage is a magic scene, The sheltering boughs seem ever green The streamlet as it flows along Is murmuring a fairy song.	000744317_01_77_11	locomotive	1.0	1.0
105	1893	She sat in one corner of the carriage, and listened to Mrs. Leigh's explanations, and to the clang of the ***engine*** and rush of the train, all mingled together in bewildering confusion.	This kept ringing in her ears, like the tolling of a bell, through all the other sounds. [SEP] She sat in one corner of the carriage, and listened to Mrs. Leigh's explanations, and to the clang of the ***engine*** and rush of the train, all mingled together in bewildering confusion. [SEP] But the other voice filled all space, echoing through everything.	002703942_03_125_3	engine	0.0	0.0
106	1888	Nearly a generation had been strangely neglected to grow up un-Americanized, and the private adventurer and the ***locomotive*** were the untechnical missionaries to open a way for the com mon school.	"This was almost a genera tion after that region had become American terri tory. [SEP] Nearly a generation had been strangely neglected to grow up un-Americanized, and the private adventurer and the ***locomotive*** were the untechnical missionaries to open a way for the com mon school. [SEP] Educational and Christian philanthropy in the United States has some eccentricities, but they ""lean to virtue's side."""	000212295_01_219_6	locomotive	1.0	1.0
107	1888	In stepping out of the way of a goods train, he was caught and run over by a passenger ***engine*** .	Mr. Samuel Crompton, station- master at Chapel Street Station, killed on the line. [SEP] In stepping out of the way of a goods train, he was caught and run over by a passenger ***engine*** . [SEP] ■ — November 19th.	000372800_01_225_3	engine	0.0	0.0
108	1891	A sniff and other sounds of a labouring human ***machine*** by Avhich Sararann's approach was heralded, might now be heard on the stairs, and her mistress returned to practi calities with the promptitude of one obeying a signal.	"Ay, dear."" [SEP] A sniff and other sounds of a labouring human ***machine*** by Avhich Sararann's approach was heralded, might now be heard on the stairs, and her mistress returned to practi calities with the promptitude of one obeying a signal. [SEP] She advised Evelyn to hang the silk gown up again and to betake herself also out of the dust she and her handmaid were about to raise."	001179861_01_239_4	machine	1.0	1.0
109	1840	But its kingdom was far more extensive, and the poets claiming the privilege of laying their opinions on public affairs before the people in this shape, Cra tinus, Eupolis, and particularly Aristophanes, a daring, powerful, aud apparently unprincipled writer, converted comedy into an ***engine*** for assailing the credit and character of private individuals, as well as the persons and political measures of those who administered the state.	To this edict Horace alludes in the well-known lines: It is probable, that had the old Grecian comedy continued 4° direct ils shafts of ridicule only against the inhabitants of Olympus, it would not have at tracted the coercion of the magistracy. [SEP] But its kingdom was far more extensive, and the poets claiming the privilege of laying their opinions on public affairs before the people in this shape, Cra tinus, Eupolis, and particularly Aristophanes, a daring, powerful, aud apparently unprincipled writer, converted comedy into an ***engine*** for assailing the credit and character of private individuals, as well as the persons and political measures of those who administered the state. [SEP] The doctrines of philo sophy, the power of the magistrate, the genius of the poet, the rites proper to the Deity, were alter nately made the subject of the most uncompromising and severe satire.	003316901_05_677_17	engine	1.0	1.0
110	1837	When the ***machine*** has been let down into the sea, and the coral is thought sufficiently * I have since found that it is an article by M. de Blain ville, in a recently published Philosophical Dictionary.	The machinery employed for tearing the coral from the bottom of the sea consists first of all of two beams crossed and tightly fixed at right angles to each other, with a leaden weight to press them down ; to these beams they fasten a great quantity of hemp loosely twisted, among which they mix strong nets. [SEP] When the ***machine*** has been let down into the sea, and the coral is thought sufficiently * I have since found that it is an article by M. de Blain ville, in a recently published Philosophical Dictionary. [SEP] LETTERS FROM THE SOUTH.	000586516_01_470_7	machine	0.0	0.0
111	1877	In the course of time he removed his business from Greyfriars' Wynd to the Camlachie Founds, which had previously been occupied by his cousin David Napier, and there — he who is the theme of my story, began his pros- perous career as an engineer, by constructing an ***engine*** for a Dundee factory.	"At the corner of the Wynd, he fixed a sign with the inscription, ""Robert Napier, engineer and blacksmith."" [SEP] In the course of time he removed his business from Greyfriars' Wynd to the Camlachie Founds, which had previously been occupied by his cousin David Napier, and there — he who is the theme of my story, began his pros- perous career as an engineer, by constructing an ***engine*** for a Dundee factory. [SEP] In the year 1824, he manufactured there, his first pair of marine engines."	002327790_01_134_6	engine	0.0	0.0
112	1899	And so, we may hope, in future years all heavy drudgery and dirty work will be done more and more by ***machines*** , and people will have more and more chance of keeping themselves clean and healthy, and more and more time to read, and learn, and think, and be true civilised men and women, instead of being mere live ploughs, or live manure-carts, such as I have seen ere now.	For example : just as the mowing-machine saves the mowers, the threshing machine saves the threshers from rheumatism and chest complaints, which they used to catch in the draught and dust of the unhealthiest place in the whole parish, which is, the old-fashioned barn's floor. [SEP] And so, we may hope, in future years all heavy drudgery and dirty work will be done more and more by ***machines*** , and people will have more and more chance of keeping themselves clean and healthy, and more and more time to read, and learn, and think, and be true civilised men and women, instead of being mere live ploughs, or live manure-carts, such as I have seen ere now. [SEP] A live manure-cart ?	001970271_01_201_2	machines	0.0	0.0
113	1879	149 ***machines*** are set to work, and before the arrival of the post next morning the doubly, or trebly, or quadruply underscored notes are delivered with the parliamentary notices to honourable members.	THE HOUSE OF COMMONS. [SEP] 149 ***machines*** are set to work, and before the arrival of the post next morning the doubly, or trebly, or quadruply underscored notes are delivered with the parliamentary notices to honourable members. [SEP] Having issued the whip, the great thing for the whip himself is to see that members do not slip through his fingers.	001163035_02_161_1	machines	0.0	0.0
114	1893	But the engineer corps in charge of the railway repairs Avas skilful and energetic, reneAving bridges as if by magic, to the Avonder of Johnston's men, who, under the illusion that their destroying work would cause great delays, were startled to hear the Avhistle of the ***locomotive*** bringing up the supply trains in the rear of the Union army.4 1 O. R., vol.	The baggage and tents had mainly been left behind,2 and a tent fly Avas the shelter for brigade and division headquarters ; but the food, consisting of meat, bread, coffee, and sugar, was good and in plentiful supply.3 All the supplies came OA-er the single line of railroad running from Chattanooga to Atlanta, of Avhich the track was torn up, and the bridges burned by the Confed erates, as they retreated. [SEP] But the engineer corps in charge of the railway repairs Avas skilful and energetic, reneAving bridges as if by magic, to the Avonder of Johnston's men, who, under the illusion that their destroying work would cause great delays, were startled to hear the Avhistle of the ***locomotive*** bringing up the supply trains in the rear of the Union army.4 1 O. R., vol. [SEP] xxxviii.	003086039_04_482_4	locomotive	0.0	0.0
115	1860	There's my sister, she's strong; but brother's a tarnation Bight stronger, tie's as strong as a steam- ***engine*** , and can swim harder, dive deeper, rui*.	I reckon I can teach you the art of love in eo»~ less than no time. [SEP] There's my sister, she's strong; but brother's a tarnation Bight stronger, tie's as strong as a steam- ***engine*** , and can swim harder, dive deeper, rui*. [SEP] faster, cut slicker, gouge, drink, aud fight till the world')* too old to jog.	000744317_07_1043_26	engine	1.0	0.0
116	1896	They do n't know enough to vegetate any more than I had sense to know I was becoming a ***machine*** .	"he said in his heart. "" [SEP] They do n't know enough to vegetate any more than I had sense to know I was becoming a ***machine*** . [SEP] Rot and rot !"	001367653_01_394_12	machine	1.0	1.0
117	1883	A master who looks upon thy kind, not as mere ***machines*** , but as valued friends, and whose warm heart sympathises with and feels for, every living thing endowed with that mys terious pain-subjected vitality called life.	broken down as thou art, it is well for thee that thou ownest such a master ; one who loves thee well and truly, and who will cherish thee until death. [SEP] A master who looks upon thy kind, not as mere ***machines*** , but as valued friends, and whose warm heart sympathises with and feels for, every living thing endowed with that mys terious pain-subjected vitality called life. [SEP] That evening at the theatre, Kate's	001948224_03_54_6	machines	1.0	0.0
118	0	"My experience teaches me,"" says Mr. Tul kinghorn, who has by this time got his hands in his pockets, and is going on in his business con sideration of the matter, like a ***machine*** . """	"But, as he reflects when he is left alone, the woman has been putting no common constraint upon herself. "" [SEP] My experience teaches me,"" says Mr. Tul kinghorn, who has by this time got his hands in his pockets, and is going on in his business con sideration of the matter, like a ***machine*** . "" [SEP] My experience teaches me, Lady Dedlock, that most of the people I know would do far better to leave marriage alone."	000930627_01_315_30	machine	1.0	0.0
119	1877	Then the shrieking ***engine*** bore me on my cold, dreary journey, whirling me past fallow fields where the snow still lingered, lying whit, and crisp under the hedges and leafless trees ; past snug little villages and quaint old country towns ; past wood- and and moorland, and hill and dale — all cold, comfortless, I 2	After breakfast I started on my next stage, Tom taking me to the Waterloo station. [SEP] Then the shrieking ***engine*** bore me on my cold, dreary journey, whirling me past fallow fields where the snow still lingered, lying whit, and crisp under the hedges and leafless trees ; past snug little villages and quaint old country towns ; past wood- and and moorland, and hill and dale — all cold, comfortless, I 2 [SEP] 116 Charlotte's Young Man.	002366458_01_131_12	engine	1.0	1.0
120	1895	He also invented the governor, to regu late the quantity of steam admitted from the ***boiler*** into the cylinder, and thus regulate the motion of the engine.	"Another improvement, which, in point of the additional power gained, was more important than the parallel motion, and which indeed pre ceded it in point of time, was the ' Double-acting Engine,'  in which steam was introduced to act expansively on each side of the piston in the en gine. [SEP] He also invented the governor, to regu late the quantity of steam admitted from the ***boiler*** into the cylinder, and thus regulate the motion of the engine. [SEP] ""To describe all the other inventions of a minor kind connected with the steam-engine which came from the prolific genius of Watt, would occupy too much space."""	002078454_04_711_44	boiler	0.0	0.0
121	1880	His firm, equal stride, the angular movements of his arms, the steady, motionless poise of his trunk gave him the appearance of a ***machine*** which moved without effort, or without fatigue.	It required no sagacity to conclude that he could walk. [SEP] His firm, equal stride, the angular movements of his arms, the steady, motionless poise of his trunk gave him the appearance of a ***machine*** which moved without effort, or without fatigue. [SEP] It was no experiment as to whether or not he could walk ; but it was one in the case of the others.	003925990_01_231_5	machine	1.0	0.0
122	1881	"Then Lucy, blushing, murmured, ""If it is not giving you too much trouble,"" and went off' with the Count to see the ***machinery*** , Madame telling them that she and Gus would stay where they were till they came back."	" With pleasure, said the Count, and rose to go. [SEP] Then Lucy, blushing, murmured, ""If it is not giving you too much trouble,"" and went off' with the Count to see the ***machinery*** , Madame telling them that she and Gus would stay where they were till they came back. [SEP] As soon as he was left alone with Madame, Gus, after some preliminary conversation, plunged in medias res by saying he wanted to ask her advice about his engagement, "" as she was Lucy's confidante,"" he said."	000045069_01_173_4	machinery	0.0	0.0
