TextSnippet	MachineType	Date	Category	Humanness	Animacy	split
"* The magnificent masques which were represented at Whitehall under the auspices of Charles will be remem bered as long as Milton, Ben Jonson, Fletcher, and Inigo Jones shall continue to be classic names. ""  The fullest account,"" writes the late Mr. Disraeli, "" I have found of one of these entertainments ‚Äî which at once shew the curiosity of the scenical machinery, and the fancy of the poet, the richness of the crimson habits of the gentlemen, and the white dresses, the white herons' plumes and jewelled head dresses and ropes of pearl of the ladies ‚Äî was in a manu script letter of the time, with which I supplied the editor * "" Embassy to England "" in 1G26.  WHITEHALL IN CHARLES THE FIRST'S TIME."	machinery	1861	machine is inanimate object without agency	0	0	train
"They now exchanged cards and giving each other a short resume of their respective positions and status in this world of conventionalities, which appeared satisfactory to both sides, separated for the time.  One fine sunny morning, when Miss Owen and Miss Saville were sauntering to and fro on the lawn, Llew ellyn walked leisurely up to them, puffing away at his cigar like a veritable locomotive.  ""Boreu da, (good morning) fafr sylphs of the wood ; may I make a third in your consultations?"""	locomotive	1879	human as a machine	1	1	train
This resulted early in the year, in the death of Terence Meehan, fireman, of No.  3 Co., by one of the engines running over him, and steps were thereupon immedia tely taken to put a stop to the practice.  For this purpose a penalty of £5 was to be imposed upon any company which was constructed for the use of No.	engines	1894	machine is agent (movement)	1	1	train
"No, not so bad,"" said he ; "" for, with her true I had both house and land, and money too.""  That was well, said I ; "" No, not so well,"" said he ; "" For I and her own brother This live automaton, who seem'd To move by clockwork, ever keen To live upon the saving plan, Had soon the honour to be deem'd That selfish, heartless, cold machine, Call'd in the city ‚Äî a warm man.  A Bank Director once, who dwelt at Chigwell, Prim to a turtle feast invited, And as the reader knows the prig well, I need not say he went delighted !"	machine	1891	human as a machine	1	1	train
"registered as an incorporated society, and made a perpetual sleeping partner ( commanditairc ) in tfie firm of 'Leclaire et Compagnie.'  Tfie words of tfie founder on fianding over the new statutes to the members in 1864 are well worthy of citation here : ‚Äî "" ' The members of the Mutual Aid Society are no longer mere journeymen who act like machines and quit their work before the clock has sounded its last stroke.  All have become partners working on their own account : in virtue of this, nothing in the workshop ought to be indifferent to tfiem ; all sliould attend to the preservation of the tools and materials as if they were the special keepers of them If you wish that I should leave this world with a contented heart, it is necessary that you shoidd have realized the dream of my whole life ; it is necessary that, after regular conduct and assiduous labour, a workman and his wife should have the wherewithal to live in peace witfiout being a burden upon any one.'"	machines	1883	human as a machine	1	1	train
The spirit of improvement has since the Peace, and more especially within the last ten years, been working a wonderful change in the character of this army.  It is a gross mistake to imagine the British soldier a mere machine, as some Gallicized writers have been pleased to represent him.  But yet much remains to be accomplished.	machine	1851	human as a machine	0	1	train
— Then, from a rusted iron hook, A bunch of ponderous keys he took, Lighted a torch, and Allan led Through grated arch and passage dread.  Portals they passed, where, deep within, Spoke prisoner's moan ar.d fetters' din ; Through ragged vaults, where, loosely stored Lay wheel, and axe, and headsman's sword, And many an hideous engine grim, For wrenching joint, and crushing limb, By artists formed, who deemed it shame And sir to give their work a name.  They halted at a low-browed porch, And Brent to Allan gave the torch, While bolt and chain he backward rolled, And made the bar unhasp its hold.	engine	1878	machine is inanimate object without agency	1	1	train
moved to Nadi8on count?, and dvs ?sar3 aftsr 8sttisd in tiiis count?  ; daving a natural mscdan- ical 8kill, at tds ags ot sigdtssn concluded to bocomo a machines, and followed tbe occupation ot' an engineer until Augu8t 13, 1862, wbeu be enlisted a3 a drummer, in tbs Twenty-tdird Iowa Infan- tr?, 8srving in tdat eapacit?  until tlis capture ot' Vicksburg, wbon, tor bravor?	machines	1879	other	0	0	train
"A great deal has been added by later Avriters, but very little of this account has been contradicted.  The same engines Avhich Lamont describes have been at work for 200 years at least in Spitzbergen.  The best-know-n book, and perhaps the best wliich treats of arctic ice, is Scoresby's first volume* It contains, in a con densed form, the experience of a shrewd, scientific, practical observer, who had made seventeen voyages to the Spitzbergen or "" Greenland whale-fishery ;"" and who seems, also, to have read all that had then been written about his subject."	engines	1867	machine is agent (purpose/work)	1	1	train
HISTORY OF THE WAR AGAINST RUSSIA.  215 leur, which the Russian never learns, for he is nothing but a machine.  The Turkish soldier defends walls and entrenchments with a love of the sport, in which he is only probably sur passed by the Spaniards ; while the Russian is perfectly helpless in an attack on strong places.	machine	1855	human as a machine	0	1	train
Having served in the royal navy, and being in London in 1815, an application was made to him to navigate a steamer from the Clyde to the Thames — an enterprise in steaming far beyond anything that had been up to that time attempted.  There had been launched at Glasgow, two years before, a small steamer of seventy tons burthen, called the ' Argyle,' with seventy-nine feet keel, sixteen feet beam, engines of fourteen horse-power, paddle-wheels of nine feet diameter, two cabins, a funnel that served also as a mast, and a projecting gallery upon which the cabin-windows looked out ‚Äî altogether a vessel of very superior build for those days.  After running for more than a year on the Clyde, the 'Argyle' was purchased by a London com pany to ply on the Margate route ; and it was to bring this steamer from Glasgow to London that Dodd's services were required.	engines	1855	machine is inanimate object without agency	0	0	train
Good morning, gentlemen.'  And the money-making machine rose and dismissed them as he had received them with a short sharp business conge.  Ye fair, who turn a shop head over heels, maul sixty yards of ribbon and buy six, which being sent home insatiable becomes your desire to change it for other six which you had fairly, closely, and with all the powers of your mind compared with it during the seventy minutes the purchase occupied, let me respectfully inform you that the above business took just eight minutes, and that ' when it was done 'twas done ' {Shakespeare). '	machine	1856	machine is agent (mental state)	1	1	train
228 and heard.  In his professional as well as in his political life he has worked with the regularity and steadiness of a machine.  With the exception of a trip to England, made five-and-thirty years ago or more, I don't think he has even taken a long holiday, and he certainly looks as if he had never needed one.	machine	1884	human as a machine	1	1	train
I under stood you to say so.'  Oh, I want you ; but you don't suit me at all as my engine-driver,' said Palmer, with a peculiar glance and smile which were unintelligible to Randall.  It occurred to him, however, that the whole of that day Palmer had behaved and spoken to him in the strangest manner.	engine	1886	other	0	0	train
AATiy we — Dost hear, Jacques?  Here is a stranger seeks to know what we are doing,' and the two machines were tickled that there should be a man who did not know something they happened to know.  In all ages this has tickled.	machines	1862	machine is agent (mental state)	1	1	train
"the second one said : "" So it is ! ""  and they both laughed al most as loudly as the machinery roared, and mopped their foreheads. ""  We see there was a light burning across the road and we were sleeping in that ditch there for coolness, and I said to my friend here : ' The office is open."	machinery	1890	machine is agent (purpose/work)	1	1	train
The coloured light, being less powerful, may not he seen when the bright light is first noticed ; but the periodical revolution of the bright light will hi sufficiently distinguishable.  In thick and foggy weather a bell will be tolled by machinery, night and day, at intervals of half a minute.  At Arbroatb each of the light keepers has a house provided for his family.	machinery	1855	machine is agent (purpose/work)	0	0	train
My love and my darling !  ‚Äî tho' I never was there, An account most exact have I heard of your kitchen ; Brown roast meat the cook would continually bear ; The black boilers were never without a good flitch in, The cock of the beer barrel never ceased flowing, And should there of strangers walk in a whole score No person would ask them, whence coming, where going ?  But place them at table without a word more ; And there they might eat of whatever they pleased, Nor would they in the morning be with a bill teazed.	boilers	1844	machine is inanimate object without agency	0	0	train
The possibility of producing a brilliant light Avith this fluid had been Avell known to physicists ever since Sir Humphry Davy's experiments in 1813, but no method of generating the electricity cheaply had hitherto been invented.  Utilizing among others the inventions of Dr. C. W. Siemens, Mr. Charles G. Brush, of Cleveland, O., gave to the Avorld in 1875 his remarkably efficient dynamo or genera tor, and from that time the illumination of streets and squares by electricity began to be somewhat common.  There Avas, to be sure, another difficulty to be overcome, even for lighting on a gi'and scale, that of maintaining a stead}- and continuous light.	dynamo	1895	machine is instrument	0	0	train
Then the clutch box, impelled by the spring, catches and turns the screw, and the striking cylinder advances till the fork is caught by the following tooth of the rack, and thus disengages the clutch.  It may be conceded that Mr. Sommeiller has constructed au inge- nious machine which fulfills the following conditions: 1.  It strikes hard and rapid blows upon the rock.	machine	1871	machine is agent (purpose/work)	1	1	train
"Writing to Lord Fairfax, with whom he appears to have been in close intimacy, he thus expresses himself, in reference to the trial of Lord Strafford: — ""April 10th, 1641.  And I assure your lordship, it will be no small encouragement to the subject to see justice done upon that great engine, the Lord Strafford, who hath in a manner battered down their laws and liberties, and levelled ‚Ä¢In the forty-first EUzabeth, the Attorney- General prosecuted, in the Duchy Court, Thomas Matthew, Robert Matthew, John Benson, and others, for intrusion thereon, and for the felling and destruction of timber.  — Cal."	engine	1882	human as a machine	1	1	train
425 Robert Broadbent & Sons, Phœnix Iron Works, Stalybridge.  These machines are specially designed for use in countries where there is exceptional difficulty or expense in transporting heavy weights.  They are so constructed that they are readily put together by unskilled labour on arrival at their destination, and, being built up of steel plates and angle-iron, give the maximum of strength with the minimum of weight.	machines	1889	machine is inanimate object without agency	0	0	train
And again misfortune overtook the unhappy youth.  He lost one arm by the premature discharge of a Fourth-of-July cannon, and within three months he got the other pulled out by a carding-machine.  Aurelia's heart was almost crushed by these latter calamities.	machine	1897	machine is agent (purpose/work)	1	1	train
He next heard the clock in the adjoining apart ment chime the hour of nine.  A moment later the shrill shriek of a locomotive pierced the air.  It was the train departing for Calcutta.	locomotive	1896	machine is agent (mental state)	1	1	train
Our afternoon, spent amid smoke, and heat, and dirt, and half-naked work men, manipulating with dexterous skill the glowing streams of molten ore, was a great contrast to our morning ramble.  Having seen the works, and received a curious and in teresting collection of copper ore, as a remembrance of our visit, we started in a little car, lined with crimson cloth, and drawn by a locomotive, to visit the various coal mines.  First we went through the park, and then along a valley near the sea, full of wild flowers and ferns, and trees festooned with 'copigue,' the Chilian name for a creeper which is a speciality of this country, and which imparts a character of its own to the landscape during the month of	locomotive	1878	machine is agent (movement)	0	0	train
The decks were deserted, for many of these people were returning to England after long years in India, and the first chill northern breeze they met made them shiver while it delighted them.  Luke FitzHenry was on the bridge from eight o'clock till midnight, motionless at his post ‚Äî a mere navigating machine, respected and feared by all who worked with him, understood of none.  When midnight came he exchanged a few words with the first officer, and together they superintended the shaking out of the foresails before the watch went below.	machine	1897	human as a machine	0	1	train
It was a part of the pro gramme of this brilliant day that her majesty should be attended in passing through the fleet by the members of both houses of parliament.  Their lordships and honourable members pro ceeded by rail to Southampton, and were de layed two hours by the breaking down of an engine.  When they arrived at Southampton Water there was but one tender provided for so large a number of gentlemen.	engine	1855	machine is inanimate object without agency	0	0	train
Forester — I say that the work is hard, but grand.  I am not a machine ; I must use my judgment daily, and that on no small scale, over many hills and over many cattle.  I am healthy, I am comfortable, and happy as most men.	machine	1885	human as a machine	1	1	train
Life at the mill Avas generally as mono tonous as the motion of the great wheels that during the hours of Avork kept up an unceasing roar.  Early in the morning the girls resumed their daily tasks, the con tinuous feeding of the large machines that, as relentless as fate, compelled their constant attention.  Alison and Jeanie and Liz Avorked to- gether in the same room, and each had charge of a frame on Avhich revolved the	machines	1890	machine is instrument	1	1	train
Parkes and Mr. Cobb, who were rather more nervous than himself.  Mr. Willet, after seeing them to tbe door, retnrned to collect his thoughts with the assistance of the boiler, and to listen to the storm of wind and rain, which had not yet abated one jot of its fury.  161 CHAPTER XXXIV.	boiler	1893	other	0	0	train
 I understand.  I am obliged for your consideration, but will you allow me to say that I have no ambition beyond being a useful servant to you ‚Äî that I want only to be a reading and writing machine ; and should I  176 A SECOND LIFE.	machine	1885	human as a machine	1	1	train
373 STRIPPING OF THE LOUVRE.  portrait painting a regular branch of our manufactures : ‚Äî eminence in which may lead a man to the honor of knighthood as certainly as if he were eminent as a soap boiler, or as a cotton-spinner, or as a ven der of lottery tickets.  Now, though it does not fall within common natures, however trained, to produce poetical paintings, yet there are few who may not be taught how to get up a portrait which shall be very much prized when hung up over family chimney-pieces.	boiler	1816	human as a machine	0	1	train
"The great advantage of liberty is, that it makes man manly.  He ceases to be either a machine or a beast of burden; he "" learns to venerate himself,"" and that is the first lesson of public and of private virtue.  His portion of the public sovereignty is a wreath of glory round his brows."	machine	1865	human as a machine	0	1	train
That things had gone wrong with Captain Aylmer, and were going on from bad to worse, Walters knew, and if he could have put forth a hand to help his master, he would fain have done so, but there had been nothing he could do.  Walters was always scrupulously watchful lest Dick's friendly kindness should lead him to forget the position in which they stood towards each other, and therefore he could only content himself by doing Captain Aylmer's bidding like a machine, better oUed, vol.  ii.	machine	1889	human as a machine	1	1	train
The insanity of the place is visible at the station door.  A G. B. T. cart once married a bathing machine, and they called the child tum-tum.  You who in flannel and Cawnpore harness drive bam boo-carts about up-country roads, remember that a Giridih tum-tum is painfully pushed by four men, and must be entered crawling on all-fours, head first.	machine	1897	human as a machine	1	1	train
For length, mass, and height above the arm of the sea which it spans, it is a veritable marvel.  Over this bridge, at different heights, are a way for foot-passengers, a way for horses and carriages, and a double line of railway, on which trains are drawn by stationary engines.  Across this bridge I walked at the cost of a cent.	engines	1886	machine is agent (movement)	0	0	train
The light membranes or husks, which are as thin as tissue paper, are carried away by the breeze, and the solid grains fall into receptacles and are carried on to other attachments, which polish them, and then separate them by means of a network of sieves.  The best Lidgerwood machines do their wrork so efficiently that they have been compared to human beings for intelli gence of action.  They separate the coffee so that one part will consist of flat beans of about the same outline and shape, another of smaller and rounder beans, a third broken beans, and a fourth of inferior and mis shapen beans.	machines	1899	machine as a human	1	1	train
the sausage machine !  Oh 1 the sausage machine I ween, Of poor Grabem's fate and the sausage machine.  Oh 1 the sausage machine !	machine	1892	machine is inanimate object without agency	0	0	train
"But from what I see, I should say it is a simple one, and most susceptible of our treatment.""  I wonder, said Mrs. Percival, still a little irresolute, ""if it would be convenient to you to ‚Äî to ‚Äî er ‚Äî call some day and make a diagnosis "" ‚Äî she was pleased with this word and dwelt upon it Avith satisfaction ‚Äî "" or, perhaps,"" she added, with a vague idea that gah'anic batteries or elec trical machines of some mysterious and possibly not portable kind might be a part of the treat ment, "" I could bring her to you if you would prefer that ? ""  "" If you would like, Mrs. Dundas, to place your niece under my medical care for a time, I shall be happy to call and see what I can do for her."""	machines	1890	machine is instrument	0	0	train
After again wading through the Arno Garno, we crept among the mimosa trees, our Witos leading the way with their long spears in their hand, as they said that if there were any goiimarie about they would perceive them long before we should.  But we had hardly walked a hundred yards, when suddenly there was a cracking of branches, the trees in front of us parted asunder, and a huge black mass appeared rushing down upon us with short angry snorts, like a. railway engine letting off steam.  Our native hunters had got, without perceiving it, between the wind and a hippopotamus that was grazing on land,and which, finding; its retreat to the lake cut off, had made up its mind to charge.	engine	1877	other	0	0	train
The second nurse in attendance on the earl w-as a great contrast to Nurse Cynthia.  Equally well trained, with quite as much experience, and just as strong a sense of duty, Nurse Frances was far more of a machine than her colleague.  She followed the doctor's orders with scrupu lous fidelity, she obeyed the slightest hint, but she had no resources of her own, and shrank from assuming re sponsibility, so that on the rare occasions when anything happened not provided for in the doctor's injunctions, and unforeseen by them, Nurse Frances was as helpless as a child.	machine	1892	human as a machine	0	1	train
"He sat, in unconcealed sadness, in the oak settle by the fire, exciting in Mrs. Dalton's mind much wonder as to the cause of his depression, and replying to aU Abraham Dalton's requests for orders or questions about the farm by a careless "" Have it your own way.""  It was not much better on the morrow, though be did go out in the forenoon, and watch the threshing machine at work, for a Httle while, but in an absent sort of way, as if it were no concern of his. ""  Have you looked into the big Hnhay, sir, any time this wik?"""	machine	1870	machine is inanimate object without agency	0	0	train
"Tis with feelings of rapture and of surprise, We behold the forc'd stream to the adit arise ; For tis contra to nature, and Ave admire Whatever can power o'er her order acquire ; We seem to hear the sage warrior, and our hearts thrill, ""Sun stand thou on Gibeon, and moon be thou still.""  The giver of mind through the agent we praise Nor withold admiration, for the engine will raise From three hundred fathoms, and more if you please, That number of gallons per minute with ease.  Thus five thousand five hundred hogsheads per hour, To the adit our engines constantly pour ; And forty-eight millions of hogsheads appear, To be drained from the mines of Gwennap per year."	engine	1845	machine is agent (movement)	1	1	train
At low water the port is dry, and the shipping within the moles lie as in dry docks.  The manufactures are, cordage and sail-cloth ; the former employing several hundred hands, though much ofthe business is exe- cuted by machinery of great variety and powers.  The principal charities are a commodious poor-house and dispensary, at the latter of which several thousands have been relieved ; and the amusements consist of a neat theatre, assembly-rooms, &c. The petty sessions for All rdale above Derwent ward are holden here.	machinery	1810	machine is instrument	0	0	train
It contained the record of Scotland's devotional enthusiasm, her patriotic ardour, her manly independent spirit — her alternations of deep sorrow and flashing merriment, like the lightning and its thunder-cloud — all that is fervid, and noble, and charac teristic, in the past and present spirit of the Scottish people.  Could the author of such a work become a sugar- boiler or a slave-driver?  Robert Burns returned to his rural home, and there continued those wondrous lyrics whose music is borne upon every breeze, and has awakened every echo from the banks of the Doon to those of the Ganges; and which will continue to be endearingly repeated until the moun tains and rivers, of which he sung so eloquently and so tenderly, have passed away.	boiler	1855	other	0	0	train
Hubert Arundel, in his ignorance of his daughter's secrets, could not dis cover the cause of her decadence ; but that cause was very simple.  If the body is a wonderful and complex machine which must not be tampered  TAKING IT QUIETLY.	machine	1863	human as a machine	0	1	train
As a matter of fact, John was simply looking with some kind of pity mixed with wonder at the culprit, who he felt sure was about to be exposed.  Now when an actor succeeds in looking natural he acts well ; but the grouping was spoilt by the policeman, who had no dramatic talent whatever, and stood as if he were a machine or a soldier at drill. '  Now, Mr. Ashton,' said Mr. Halkett, ' we are going in search of this lost boy.	machine	1879	human as a machine	0	1	train
Shake spear does not stand reasoning on what his cha racters would do or say, but at once becomes them, and speaks and acts for them.  He does not present us with groups of stage-puppets or poetical machines making set speeches on hu man life, and acting from a calculation of ostensi ble motives, but he brings living men and women on the scene, who speak and act from real feelings, according to the ebbs and flows of passion, with out the least tincture of the pedantry of logic or rhetoric.  Nothing is made out by inference and analogy, by climax and antithesis, but every thing takes place just as it would have done in reality, according to the occasion.	machines	1817	machine is agent (mental state)	1	1	train
The premises occupied by the firm are of considerable extent, the works covering an area of two acres, and compris ing suite of offices, private rooms, and lavatory, and ranges of building devoted to the several departments of the business.  These include spacious bleaching, dyeing, and finishing works, fitted throughout with im proved steam plant and machinery of the newest type requisite for perfecting the various processes of the  Commercial Glasgow.	machinery	1891	machine is inanimate object without agency	0	0	train
Before we got clear of the ice the height of the waves was 13i feet ; after passing through the last of it there was no increase, but the sea was more confused ; in fact, within the ice all minor dis turbances were quelled or merged into one regular fast-following swell.  The shij) and her machinery behaved most admirably in the struggle ; should I ever have to pass through such an ice-covered, heaving ocean again, let me secure a passage in the ' Fox.'  During our 242 days in the packed-ice of Baffin's Bay and Davis' Straits we were drifted 1194 geographical or 1385 statute miles; it is	machinery	1859	machine is agent (mental state)	1	1	train
The steam-tug L. D. Collins was carried upon one of the abutments of the State street bridge, where she lay in immi- nent danger of being broken in two.  Payne's mud machine and three or four canal boats were also forced upon the abutments.  Two steam-tugs were in the basin, the Austin and Ohio, and were whirled around at a frightful rate during the crash.	machine	1865	machine is inanimate object without agency	0	0	train
"After a long dreamless sleep I awoke on the 26th like a moderate-sized man refreshed, and started away on wheels down an easy descent for the first five miles, sighting from the opening of the valley the castle of Nagoya, its tall keep shining out fair in the morning sun.  The jinrikishas were very ricketty ones, and two of them broke down beyond the power of straw-rope, paper, and rice-paste to remedy their defects ; so that these usual Japanese applications in case of any ailment to man, beast or machine being found wanting, there was nothing for it but to hire porters for the baggage, and step out.  However, we reached the town, and the "" Hotel du Progres ""—my old quarters in 1875 — about eleven o'clock."	machine	1883	machine is agent (mental state)	0	0	train
"Gould's notions of military discipline are best given in his own words.  On one occasion, when at drill, Gould called out to the regiment ‚Äî "" Steady, gentle men, steady ; a soldier is a mere machine.  He must not move — he must not speak — and, as for thinking, no !"	machine	1877	human as a machine	0	1	train
229 THE DOWAGER COMES TO THE FRONT.  it is to be lissom and skeary, to tote what you hear and run with the machine ?  Perhaps I do !	machine	1872	machine is instrument	0	0	train
At the beginning of the late war the French counted much on the superiority of their arms ; and one object of the highly demonstrative but practi cally ineffective attack made at Saarbrucken, on the 2nd of August, seemed to be to inspire the French army and France generally with confidence in the mitrailleuse.  The Charivari had already published an engraving in which a soldier, turning the handle of a mitrailleuse, was represented as sweeping the field of battle with his murderous machine, and looking in vain, after a few minutes' grinding, for one remaining enemy.  Spectators on the French side before Saarbrucken fancied that, through the smoke, they had really seen some such effect as this.	machine	1874	machine as a human	1	1	train
Instruct os himself; and took as much pains to form our morals, as to improve our understand- ing.  We were told, that universal benevolence was what first cemented society ; we were taught to consider all the wants of mankind as our own ; to regard the human face divine with affection and esteem; he wound us up to be mere machines of pity, and rendered us incapable of withstanding the slightest impulse, made either by real or fic- titious distress; in a word, we were perfectly instructed in the art of giving away thousands before we were taught the more necessary quali- fications of getting a farthing.  'I cannot avoid imagining, that, thus refined by his lessons, out of all my suspicion, and di- vested of even all the little cunning which nature had given me, I resembled, upon my first entrance into the busy and insidious world, one of those gladiators who were exposed without armour in the amphitheatre at Rome.	machines	1841	human as a machine	1	1	train
"Why, it even made Miss Giffard smile; who if she has a fault But come, now to business for a few minutes.  Brother spinners and weavers"" — and Mr. Wolcombe looked round, for when he did joke he always liked others to enjoy it as much as he did himself — "" who clothe the majesty of man, if not in purple and fine linen, then in excellent broadcloth and the best of calico, come, tell me what you think of this — my new machine — that this cunning chap  THE MAN WITH THE MACHINE."	machine	1890	machine is inanimate object without agency	0	0	train
and danger.  But in Germany, where the passions are an nihilated, and a man is modelled into a machine before he is thought a good soldier, where his blood is sold by the prince to the highest bidder, where he has no quarrel with the enemy he murders, and no allegiance to the monarch for whom he fights, the being liable to be forced into such a service, is one of the most dreadful of all calamities.  Yet a regiment of such compelled soldiers, dressed in gaudy uniform, and powdered sor a review, with music sounding and colours flying, makes a far more brilliant appearance than a cluster of peasants with their wives and children upon a holiday.	machine	1820	human as a machine	0	1	train
"When a man prepares coffee he drinks the first cup — the "" Sharbat-i kajari"" of the Persians, and the "" Sulaymani of Egypt, render this precaution necessary The Sharbat-i-kajari is the "" Acquetta"" of Persia, and derives its name from the present royal family.  It is said to be a mixture of verdigris with milk : if so, it is a very clumsy engine of state policy, more probably a poison of more activity.  In Egypt and Mosul, Sulaymani (the common name for an Affghan) is used to signify "" poison."""	engine	1871	machine as a system	1	1	train
"Had he been rich enough to keep them in a nursery, and see them at intervals, picturesquely dressed, he would probably have liked them as well as he did all other pretty things ; but a poor man's baby, squalling at all houft, and dribbling over its wretched frock — growing up with an enormous appetite and no pockethandkerchief — pah !  And this soft fool could give that smile (he could appreciate it æsthetic ally, and knew that a painter might have died happy who had laid such a smile on canvas) because the little howling-machine had waked up !  ""At all events, he won't give me much trouble if I am caught on his premises,"" thought he."	machine	1893	human as a machine	1	1	train
"""The story is differently told in Virgil,"" quoth Ricca bocca, peeping out of the window.  Nevertheless, the machine looks very large and suspicious; unloose Pom pey.  ""Father,"" said Violante, colouring, ""it is your friend, Lord L'Estrange; I hear his voice."""	machine	1895	machine as a human	1	1	train
"Sir William Oliphant, the governor, had been appointed by the guardian Soulis, and seemingly considering the defence hopeless, in face of the preparations making against him, he proposed that time should be allowed him for communicating with his superior ; but this was contemptuously refused.  Now, there were brought warlike engines of all kinds, casting deadly missiles, in the shape of immense stones, leaden balls, and javelins; but for a time without effect.  Then we see Edward stripping the roofs of the religious houses of St. Andrews and Brechin, ""consecrated buildings"" though they were, for lead to supply his engines,1 and writing 1 Edward's letter to his son, the prince of Wales, on this subject, is curious, and, we venture to think, characteristic. """	engines	1874	machine is agent (purpose/work)	0	0	train
AGRICULTURE.  459 for the most part, either vexatious or impossible ; that the strict ob servance of conditions can rarely be enforced ; that, if it were, it would reduce the occupiers to the condition of mere machines ; that it would prevent them from taking advantage of such discoveries as might be made during the currency of their leases ; and that, having no means of escaping from the prescribed mode of management, they would cease to interest themselves in the progress of agriculture, and would become indifferent to every sort of improvement.  But these objections, though enforced by some high authorities, are really entitled to very little weight.	machines	1847	human as a machine	0	1	train
Paintings, which are a most interesting and in structive sight, and might be turned to great ad vantage.  There is also an^excellent set of Chemi cal apparatus ; but, only two courses of lectures have been delivered, since they were sent from London, about three years ago ; and they are now lying unemployed for want of a Lecturer.  Very lately, about fourteen hundred persons of all ages, and both sexes, were employed in the works; but, the number is diminishing, in conse quence of the late unfortunate reduction of their wages.	apparatus	1828	machine is inanimate object without agency	0	0	train
It is really quite exceptional weather; I am so glad for the hay-makers.'  Elaine, like a machine, had busied herself in closing the piano and putting away her music.  Now she rose, and followed her aunt to the table by the window.	machine	1889	human as a machine	1	1	train
Time after time the assailants attempted to scale the ramparts, but they were driven back head long and with slaughter.  Fire, however, might do what besiegers and engines of war failed to accomplish.  The burning brands flung into the enclosure wrapped in flames the northern portico.	engines	1878	machine is agent (purpose/work)	0	0	train
4.  Miners working in connection with pneumatic boring-machines are continually supplied with an abundance of fresh air.  5.	machines	1884	machine is inanimate object without agency	0	0	train
288 TRAVELS IN THE CENTRAL PORTIONS come to be extensively worked in the rock, the efforts which are now scattered over an immense surface will be concentrated upon particular points, and the obser vations of the most eminent miners and geologists of Europe will be open before us, to guide our subter ranean operations.  The introduction of the steam engine into this section of country will form a new era in the mining of Missouri, and produce the same astonishing effects which have resulted in other places from this capital invention.  It is only a few years since this power was first employed in the South American mines.	engine	1825	machine is agent (purpose/work)	0	0	train
Napoleon Lead.  — The Sons of Freedom Company after having been swamped out for two years, during which period they have had two engines almost constantly at work, have abandoned the present shaft and commenced sinking a new one.  The object of this is to avoid the rock through which the water has percolated to such an extent, that all the efforts to drain the ground have hitherto been ren dered ineffectual.	engines	1859		0	0	train
The en gineer came down and calculated the time which would be required to lay the Mere dry again.  The engine discharged the water, and the prediction in point of time was exactly verified.  CHAPTER IV.	engine	1876	machine is agent (purpose/work)	0	0	train
"He stole about a-tiptoe, and when an unlucky copy ing-clerk in a corner of the outer room overset a folio, he turned upon him so threatening and wrathful a countenance that that unhappy one shrank into himself till the top of his head was all that was visible above the collar of his coat.  Mudge could read the signs of the times for all that his master had described him as "" a mere machine,"" and, looking on the dial of his master's face, there descried ""what o'clock it was;"" in other words,  88 WINSTOAV^ recognised the fact that to interrupt the conference at present going on, would be to incur vast and unknown penalties."	machine	1877	human as a machine	0	1	train
20 III.  A Baked-potato-man did homeward trudge, With engine, donkey, cart, and inward grudge, Because a gay Lothario, 'pon town, .  Had ventured to affirm that half-a-crown He tendered had, in payment for a meal Of mealy tubers and stewed peas.	engine	1880	machine is inanimate object without agency	0	0	train
In the 1667 began the wester sugar-work by four mer chants, viz.  Peter Gemmill, Frederick Hamilton, John CaldAvell and Robert Cumings merchants, who put in a joynt stock for carrying on a sugar-work, and having got a little apartment for boiling sugar, a Dutchman being master-boiler, this undertaking proved very effectual, and their endeavours wonderful successful; so that they left this little appartment, and built a great stone tenement, with convenient office houses for their work, Avithin a p2  HISTORY OF GLASGOW.	boiler	1830	other	0	0	train
"It was by that route that Doctor Hooker proceeded, and thence up the gorge of the Tambur river to the Wallan choon Pass to Thibet.  This Wallanchoon is "" a large village of painted wooden houses,"" con taining about a hundred houses and temples, which latter buildings contain rows of praying machines.  These machines are supposed to be as efficacious as oral prayer."	machines	1884	machine is agent (mental state)	1	1	train
— yes, grandsire triples, in which peal there were no less than five thousand and forty changes.  We must confess we are happy that we were not there to hear them, for, notwithstanding, that each of the eight old youths worked away like a steam engine, the performance took three hours and six minutes.  The sound of cannon now boomed from the Tower walls ; this was the signal for all who were to participate in the gorgeous procession, to hasten to their respective stations.	engine	1848	human as a machine	1	1	train
off from Carlsruhe by a mysterious sum mons : perhaps, with the illogical con clusions of young girls, she had allowed some less worthy suitor to bear her away from her dreams of Fortnoye.  This other — could it possibly be the repulsive young calculating-machine who called himself Kraaniff or Kranich ?  That would explain his quarrel with Fortnoye perhaps ; but I had seen him at Heidel berg, apparently alone.	machine	1875	human as a machine	1	1	train
The combi nation pedals are so arranged that the organist can change any combination to suit himself, small knobs being placed above the drawstops for this purpose.  Three steam engines, located in different parts of the building, are employed to work the bellows* The cost of the instrument, which was not completed at the time of writing, was over $60,000, and the ornately carved mahogany cases cost about $30,000 additional.  and debate, has been profoundly felt, and this necessity has been relieved by the cathedral.	engines	1882	machine is instrument	0	0	train
